frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
33,17.8,7,car,0.25,664,201,702,222,683,211,683,222,44.655259,10.934825,2756,1856
33,17.8,11,car,0.25,581,207,620,239,600,223,600,239,44.655326,10.934769,2604,1674
34,18.332,1,car,0.25,156,380,414,547,285,463,285,547,44.65556,10.934387,1567,1038
34,18.332,2,car,0.25,578,260,688,337,633,298,633,337,44.655457,10.934502,1879,1318
34,18.332,3,car,0.25,504,238,591,295,547,266,548,295,44.655427,10.934602,2151,1400
34,18.332,5,car,0.25,511,217,565,245,538,231,538,245,44.655351,10.934765,2593,1605
34,18.332,7,car,0.25,671,200,706,220,688,210,689,220,44.65525,10.934834,2781,1879
34,18.332,11,car,0.25,578,207,617,239,597,223,598,239,44.655326,10.93477,2606,1673
34,18.332,13,bicycle,0.2702,0,390,27,493,13,441,13,493,44.655563,10.934456,1755,1029
34,18.332,14,bicycle,0.5402,1274,161,1303,190,1288,175,1288,190,44.654822,10.934704,2428,3043
35,18.867,1,car,0.25,143,386,397,552,270,469,270,552,44.655561,10.934387,1566,1034
35,18.867,2,car,0.25,578,261,688,338,633,299,633,338,44.655458,10.9345,1875,1316
35,18.867,3,car,0.25,506,240,591,295,548,267,548,295,44.655427,10.934602,2151,1400
35,18.867,5,car,0.25,512,220,566,247,539,233,539,247,44.655355,10.934756,2569,1594
35,18.867,7,car,0.25,568,207,623,237,595,222,596,237,44.655322,10.93478,2634,1685
35,18.867,11,car,0.25,571,210,609,239,590,224,590,239,44.655328,10.934773,2615,1668
35,18.867,13,bicycle,0.25,2,386,30,489,16,437,16,489,44.655562,10.934459,1762,1032
35,18.867,14,bicycle,0.25,1276,162,1304,190,1290,176,1290,190,44.654821,10.934702,2423,3046
36,19.446,1,car,0.25,128,389,385,558,256,473,257,558,44.655563,10.934385,1563,1030
36,19.446,2,car,0.25,579,262,689,339,634,300,634,339,44.655458,10.934499,1871,1314
36,19.446,3,car,0.25,508,243,591,296,549,269,550,296,44.655427,10.934599,2143,1398
36,19.446,5,car,0.25,505,221,565,251,535,236,535,251,44.655364,10.934741,2528,1571
36,19.446,7,car,0.25,564,207,621,238,592,222,593,238,44.655325,10.934776,2624,1677
36,19.446,11,car,0.25,568,211,604,239,586,225,586,239,44.655329,10.934774,2619,1666
36,19.446,13,bicycle,0.25,5,384,33,487,19,435,19,487,44.655562,10.93446,1765,1033
36,19.446,14,bicycle,0.25,1273,163,1301,190,1287,176,1287,190,44.654822,10.934705,2430,3041
37,20.008,1,car,0.25,113,391,375,565,244,478,244,565,44.655565,10.934384,1558,1025
37,20.008,2,car,0.25,580,262,690,340,635,301,635,340,44.655459,10.934497,1866,1312
37,20.008,3,car,0.25,509,243,592,296,550,269,550,296,44.655427,10.934599,2143,1398
37,20.008,5,car,0.25,503,221,562,251,532,236,532,251,44.655364,10.934742,2531,1570
37,20.008,7,car,0.25,562,206,620,238,591,222,591,238,44.655325,10.934777,2626,1676
37,20.008,11,car,0.25,564,212,600,240,582,226,582,240,44.655332,10.934771,2610,1658
37,20.008,13,bicycle,0.25,9,382,37,482,23,432,23,482,44.655561,10.934463,1774,1036
37,20.008,14,bicycle,0.25,1273,163,1300,191,1286,177,1286,191,44.654835,10.934697,2410,3006
38,20.541,1,car,0.25,101,395,365,571,233,483,233,571,44.655566,10.934382,1554,1021
38,20.541,2,car,0.25,580,262,690,341,635,301,635,341,44.65546,10.934496,1862,1310
38,20.541,3,car,0.25,509,243,593,297,551,270,551,297,44.655428,10.934596,2136,1395
38,20.541,5,car,0.25,498,221,565,255,531,238,532,255,44.655372,10.934726,2488,1549
38,20.541,7,car,0.25,559,204,620,238,589,221,590,238,44.655325,10.934777,2627,1675
38,20.541,11,car,0.25,561,213,595,240,578,226,578,240,44.655332,10.934772,2614,1656
38,20.541,13,bicycle,0.25,10,376,41,483,25,429,25,483,44.655561,10.934462,1771,1036
38,20.541,14,bicycle,0.25,1272,163,1299,191,1285,177,1286,191,44.654835,10.934697,2410,3006
38,20.541,15,person,0.2893,622,185,638,210,630,197,630,210,44.655227,10.934929,3039,1941
39,21.095,1,car,0.25,91,400,357,578,224,489,224,578,44.655567,10.93438,1549,1018
39,21.095,2,car,0.25,579,263,690,344,634,303,635,344,44.655462,10.934492,1851,1304
39,21.095,3,car,0.25,511,243,596,297,553,270,554,297,44.655428,10.934596,2134,1396
39,21.095,5,car,0.25,495,221,566,260,530,240,530,260,44.655381,10.934708,2440,1525
39,21.095,7,car,0.25,555,203,618,238,586,220,586,238,44.655326,10.934779,2632,1673
39,21.095,11,car,0.25,557,214,591,240,574,227,574,240,44.655333,10.934774,2618,1654
39,21.095,13,bicycle,0.25,11,368,46,485,28,426,28,485,44.655561,10.93446,1766,1035
39,21.095,14,bicycle,0.25,1271,164,1298,191,1284,177,1285,191,44.654836,10.934698,2412,3005
40,21.644,1,car,0.25,79,404,346,585,212,494,213,585,44.655569,10.934378,1544,1014
40,21.644,2,car,0.25,579,263,690,346,634,304,634,346,44.655463,10.934489,1844,1300
40,21.644,3,car,0.25,515,243,598,296,556,269,557,296,44.655427,10.934597,2138,1400
40,21.644,5,car,0.25,492,222,566,262,529,242,529,262,44.655384,10.934702,2422,1515
