frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
54,27.283,8,car,0.7771,462,214,511,251,486,232,486,251,44.655372,10.934758,2574,1548
54,27.283,1,car,0.7249,0,460,231,696,115,578,115,696,44.655585,10.934349,1463,970
54,27.283,6,bicycle,0.6968,78,354,134,457,106,405,106,457,44.65555,10.934471,1795,1064
55,27.783,2,car,0.9041,547,275,672,369,609,322,609,369,44.655481,10.934466,1781,1252
55,27.783,3,car,0.6178,543,245,632,304,587,274,587,304,44.655431,10.934571,2068,1387
55,27.783,4,car,0.837,498,224,565,273,531,248,531,273,44.655401,10.934665,2323,1470
55,27.783,8,car,0.82,461,213,512,250,486,231,486,250,44.65537,10.934762,2585,1553
55,27.783,1,car,0.6962,0,467,215,700,107,583,107,700,44.655585,10.934348,1462,969
55,27.783,6,bicycle,0.7812,87,358,141,453,114,405,114,453,44.655549,10.934473,1800,1067
56,28.269,2,car,0.9224,545,278,670,370,607,324,607,370,44.655482,10.934465,1779,1250
56,28.269,3,car,0.7161,545,247,633,304,589,275,589,304,44.655431,10.934571,2067,1387
56,28.269,4,car,0.8312,498,224,565,274,531,249,531,274,44.655402,10.934662,2315,1466
56,28.269,8,car,0.8141,454,213,508,251,481,232,481,251,44.655373,10.934759,2578,1546
56,28.269,1,car,0.7227,0,446,216,708,108,577,108,708,44.655586,10.934346,1455,967
56,28.269,6,bicycle,0.8271,92,357,149,452,120,404,120,452,44.655549,10.934473,1800,1069
57,28.766,2,car,0.9232,542,277,670,372,606,324,606,372,44.655483,10.934463,1773,1246
57,28.766,4,car,0.8148,499,225,563,275,531,250,531,275,44.655403,10.934659,2307,1463
57,28.766,8,car,0.8499,446,213,502,252,474,232,474,252,44.655376,10.934758,2574,1538
57,28.766,1,car,0.7794,0,440,207,713,103,576,103,713,44.655587,10.934345,1453,965
57,28.766,6,bicycle,0.8187,98,357,155,448,126,402,126,448,44.655547,10.934475,1807,1073
58,29.251,2,car,0.9305,537,278,669,374,603,326,603,374,44.655485,10.934461,1769,1242
58,29.251,4,car,0.6703,500,228,560,275,530,251,530,275,44.655404,10.93466,2308,1462
58,29.251,8,car,0.8541,441,214,500,253,470,233,470,253,44.655378,10.934755,2566,1531
58,29.251,1,car,0.6728,0,460,186,717,93,588,93,717,44.655588,10.934345,1452,963
58,29.251,6,bicycle,0.7419,102,351,161,443,131,397,131,443,44.655546,10.934479,1817,1077
59,29.749,2,car,0.9306,533,281,667,377,600,329,600,377,44.655487,10.934459,1762,1237
59,29.749,4,car,0.7348,500,228,559,275,529,251,529,275,44.655404,10.93466,2309,1462
59,29.749,8,car,0.8558,432,216,493,254,462,235,462,254,44.655381,10.934754,2563,1523
59,29.749,1,car,0.6036,0,477,164,715,82,596,82,715,44.655588,10.934346,1457,963
59,29.749,6,bicycle,0.783,107,353,165,441,136,397,136,441,44.655545,10.93448,1820,1079
